base_date,olle_1,olle_2,olle_3,olle_18,olle_19,olle_20,olle_21,성산일출봉,김녕바다,세화바다,비자림,함덕바다,올레_123,올레_18,올레_19,올레_2021
20210101,22,11,12,29,20,18,19,39,4,2,10,11,1,0,0,0
20210102,32,9,14,27,13,23,27,25,4,2,12,10,1,0,0,0
20210103,26,16,12,25,35,15,22,26,3,2,10,10,0,0,25,0
20210104,21,10,5,10,16,15,15,28,3,1,10,10,0,0,0,0
20210105,18,10,5,25,13,10,10,24,3,2,10,8,0,0,0,0
20210106,14,7,5,20,16,11,3,22,3,1,9,8,0,0,0,0
20210107,12,2,0,5,8,10,10,17,2,1,6,7,0,0,0,0
20210108,10,4,7,10,12,13,3,16,1,1,6,6,0,0,0,0
20210109,12,6,4,25,8,13,3,15,3,1,8,7,0,0,0,0
20210110,19,8,12,24,13,15,8,25,3,2,11,9,0,0,0,0
20210111,17,7,9,13,13,8,6,26,3,2,14,11,0,0,0,0
20210112,21,7,5,22,17,13,12,29,3,2,15,11,0,0,0,0
20210113,29,11,14,29,13,18,16,32,4,3,15,14,0,0,0,0
20210114,25,13,17,37,24,14,9,33,5,3,16,15,0,0,0,0
20210115,23,11,15,26,16,15,5,33,5,3,15,13,2,0,0,0
20210116,35,17,15,34,30,33,24,33,6,3,17,14,0,0,0,0
20210117,29,14,9,27,22,19,26,33,6,3,18,15,0,0,0,0
20210118,30,10,9,44,28,18,19,35,5,3,19,17,0,0,0,0
20210119,24,8,13,30,31,30,20,34,6,3,18,15,0,0,0,0
20210120,16,6,10,34,22,17,4,36,5,4,19,16,0,0,0,0
20210121,22,5,7,35,29,18,18,34,5,4,22,16,0,0,0,0
20210122,24,6,10,24,19,12,9,29,5,3,22,15,0,0,0,0
20210123,23,9,9,24,27,23,14,31,5,3,24,16,1,0,0,0
20210124,35,10,15,40,25,34,21,45,6,4,27,21,0,0,0,0
20210125,33,10,10,39,29,20,28,41,6,3,22,23,0,0,0,0
20210126,30,6,14,32,39,19,19,43,6,3,25,24,0,0,0,0
20210127,35,10,17,45,27,28,12,46,6,4,25,25,0,0,0,0
20210128,29,9,7,20,32,24,13,37,5,3,23,24,0,0,0,0
20210129,29,10,11,29,16,22,17,41,5,3,23,21,0,0,18,0
20210130,29,14,10,33,33,32,24,46,6,3,24,23,0,0,0,0
20210131,40,21,17,45,46,27,26,45,7,4,27,28,0,0,0,0
20210201,35,11,9,33,34,17,33,47,6,4,30,25,0,0,0,0
20210202,37,10,14,45,29,31,23,55,7,4,27,27,1,0,0,0
20210203,35,14,15,33,34,25,25,51,8,4,28,28,0,0,0,0
20210204,37,14,19,37,28,24,26,51,7,4,28,27,0,0,0,0
20210205,33,14,10,43,49,30,30,47,7,4,26,26,1,0,0,0
20210206,55,22,21,53,38,52,60,55,8,6,27,36,0,0,29,0
20210207,41,20,26,39,32,32,42,58,9,5,32,36,1,0,0,0
20210208,39,16,13,47,35,33,18,53,8,5,27,36,0,0,0,0
20210209,48,18,14,43,28,34,17,52,8,4,27,30,1,0,0,18
20210210,35,11,9,26,35,23,35,48,7,5,25,29,0,0,0,0
20210211,38,17,13,48,31,30,48,57,7,4,28,30,0,0,0,0
20210212,57,20,22,45,29,39,58,72,9,6,34,33,1,0,18,100
20210213,85,29,24,49,48,43,49,68,10,6,37,43,4,0,0,43
20210214,87,23,22,55,59,60,45,59,9,7,35,38,0,0,25,54
20210215,68,25,22,37,33,32,29,63,9,6,34,33,1,0,0,0
20210216,65,17,18,51,44,46,32,60,9,6,30,36,1,0,0,0
20210217,48,12,14,29,31,51,29,52,9,5,29,33,0,0,0,0
20210218,51,11,14,39,32,52,19,54,7,5,27,31,3,0,0,0
20210219,62,17,24,35,44,65,40,59,9,5,29,32,0,0,0,0
20210220,71,34,28,50,51,61,56,61,10,7,37,37,2,0,0,0
20210221,83,24,25,58,58,73,43,69,12,7,39,43,2,0,25,0
20210222,93,23,29,63,58,62,29,65,10,8,36,37,2,0,0,0
20210223,84,17,18,49,34,56,26,64,10,8,40,35,0,0,0,0
20210224,69,19,16,51,38,51,35,60,9,7,39,34,0,0,0,0
20210225,61,14,12,43,47,41,18,48,7,5,37,29,1,0,0,0
20210226,49,18,15,44,25,26,28,46,6,5,37,25,0,0,0,0
20210227,63,17,23,46,34,57,38,54,8,6,43,27,0,0,0,0
20210228,67,19,14,57,67,52,47,60,9,7,46,32,0,0,0,0
20210301,75,12,17,54,59,55,34,48,9,5,46,30,0,0,0,0
20210302,75,16,15,40,37,63,23,51,8,5,32,30,0,0,0,0
20210303,70,12,16,45,36,53,34,52,8,6,32,29,0,0,0,0
20210304,70,16,13,34,32,56,32,44,7,5,34,28,0,0,0,0
20210305,75,19,21,55,31,76,46,49,9,5,31,28,1,0,0,0
20210306,82,24,26,55,53,67,42,52,8,5,35,31,0,0,0,0
20210307,100,22,22,59,54,73,47,61,11,6,44,35,0,0,0,18
20210308,78,18,26,53,61,66,42,62,11,6,39,34,0,0,0,0
20210309,93,27,22,61,56,70,49,62,11,6,40,37,2,0,0,0
20210310,76,24,24,53,65,64,35,62,11,6,40,35,0,0,0,0
20210311,66,16,26,49,41,58,26,53,10,5,40,33,0,0,0,0
20210312,61,26,24,55,47,68,50,50,8,5,39,31,0,0,0,0
20210313,73,33,26,56,83,75,61,62,13,6,40,35,0,0,0,0
20210314,87,33,28,78,55,76,47,65,13,6,45,37,1,0,0,0
20210315,87,25,25,55,53,73,43,69,12,7,43,42,0,0,0,0
20210316,87,27,27,55,67,66,33,65,12,8,45,41,2,0,0,0
20210317,71,23,22,54,66,70,39,63,12,8,40,41,1,0,0,0
20210318,78,22,15,54,54,52,38,59,12,7,42,41,1,0,0,0
20210319,67,27,17,55,44,74,26,51,10,6,40,35,1,0,0,0
20210320,54,21,18,57,53,59,44,55,10,6,54,37,1,0,0,0
20210321,66,26,16,65,60,84,31,75,13,8,48,41,0,0,0,0
20210322,81,20,25,58,51,91,36,72,12,9,47,40,2,0,0,0
20210323,67,22,24,63,66,89,51,75,12,8,44,43,2,0,0,0
20210324,63,23,29,69,56,76,28,72,13,8,43,41,0,0,0,0
20210325,66,12,19,58,66,69,56,69,13,8,44,46,0,0,0,0
20210326,62,9,20,51,60,81,48,61,13,8,42,41,0,0,0,0
20210327,51,15,14,59,35,65,30,54,13,7,51,40,1,0,0,0
20210328,71,18,21,63,90,80,58,71,16,9,50,48,0,0,0,0
20210329,66,20,17,55,56,94,52,67,15,7,45,51,0,0,0,0
20210330,54,20,26,51,48,81,37,66,14,6,44,51,1,0,0,0
20210331,57,15,19,46,74,71,53,65,13,6,40,48,0,0,0,0
20210401,55,19,13,43,67,65,31,58,12,6,44,44,0,0,0,0
20210402,53,24,20,37,51,53,37,60,12,6,49,44,0,0,0,0
20210403,48,19,16,47,45,95,43,60,12,7,63,53,3,0,0,0
20210404,65,25,18,66,62,72,38,71,15,7,51,59,0,0,0,0
20210405,75,24,21,68,73,62,38,80,16,9,49,62,2,0,0,0
20210406,65,23,23,78,73,91,51,84,16,8,47,63,0,0,0,0
20210407,59,14,13,69,55,92,52,80,16,7,48,65,1,0,0,0
20210408,55,15,19,69,71,72,47,77,15,7,46,61,2,0,0,0
20210409,53,20,20,67,63,55,40,74,15,7,45,55,1,0,0,0
20210410,76,30,24,78,68,100,61,69,15,7,50,56,2,0,0,0
20210411,71,34,24,55,63,96,47,78,16,7,53,55,2,0,0,0
20210412,53,17,23,59,61,74,31,70,13,7,59,55,0,0,0,0
20210413,69,26,19,62,68,84,45,80,15,7,52,54,0,0,0,0
20210414,58,17,18,63,63,75,41,78,15,7,45,53,2,0,0,0
20210415,65,19,19,57,48,85,41,74,16,7,46,56,0,0,0,0
20210416,63,26,19,93,52,74,53,68,14,7,47,52,0,0,0,0
20210417,56,27,24,76,61,68,51,66,14,6,54,52,2,0,0,0
20210418,69,31,31,100,69,86,52,80,14,6,53,53,0,0,0,0
20210419,62,29,25,67,81,65,56,78,14,7,50,53,0,0,0,0
20210420,59,21,29,71,69,87,35,80,16,7,50,58,1,0,0,0
20210421,66,31,31,81,62,72,46,74,16,7,48,55,0,0,0,0
20210422,47,33,22,62,52,72,52,66,16,6,48,51,0,0,0,0
20210423,55,22,29,58,56,78,45,66,15,6,49,47,0,0,21,0
20210424,57,21,33,65,67,71,47,65,15,6,50,50,2,0,0,0
20210425,74,28,28,80,76,89,68,74,18,6,52,54,0,0,0,0
20210426,65,22,30,94,54,43,51,74,15,5,49,52,1,0,0,0
20210427,71,15,20,62,58,75,35,76,15,6,49,49,0,0,0,0
20210428,62,21,18,62,73,68,64,72,16,8,47,48,1,0,0,0
20210429,58,19,14,77,66,52,48,75,16,6,44,47,2,0,0,0
20210430,48,26,26,54,63,64,60,68,15,6,46,43,1,0,0,0
20210501,48,27,25,57,57,65,40,72,15,6,51,46,2,0,0,0
20210502,51,28,26,73,70,68,81,82,16,7,49,51,2,0,0,0
20210503,54,34,27,60,74,51,77,80,18,7,47,50,0,0,0,0
20210504,40,19,26,63,54,39,51,65,14,6,46,44,0,0,0,0
20210505,62,36,27,67,94,67,70,77,19,7,47,60,2,0,0,0
20210506,54,25,23,58,69,72,56,76,18,7,45,51,0,0,0,0
20210507,48,19,22,49,68,63,47,74,15,7,44,49,0,0,0,0
20210508,34,32,24,45,60,52,40,65,15,7,43,49,0,0,0,0
20210509,52,20,21,56,57,67,60,77,19,8,47,55,0,0,0,0
20210510,54,23,18,46,44,55,34,84,17,8,48,55,0,0,0,0
20210511,35,19,13,57,59,51,50,75,16,7,49,53,0,0,0,0
20210512,50,24,23,47,46,56,62,82,16,7,48,55,1,0,0,0
20210513,35,20,24,58,51,49,28,78,20,7,49,58,0,0,0,0
20210514,45,10,24,59,54,53,35,66,17,7,57,47,0,0,0,0
20210515,55,18,20,58,68,74,48,65,21,7,70,55,2,0,0,0
20210516,55,23,22,67,56,63,62,81,24,9,85,59,0,0,0,0
20210517,55,22,21,72,53,68,58,89,17,9,67,62,0,0,0,0
20210518,65,26,25,76,75,53,51,78,21,9,60,64,0,0,0,0
20210519,65,25,29,63,60,63,45,78,21,9,66,69,0,0,0,0
20210520,40,21,22,63,58,63,41,82,18,9,73,61,0,0,0,29
20210521,47,27,19,54,65,47,50,79,20,8,59,62,0,0,0,0
20210522,58,25,30,70,61,40,41,69,24,8,57,65,0,0,0,0
20210523,51,37,26,71,55,58,40,82,25,8,65,70,0,0,0,0
20210524,55,24,19,53,45,63,49,88,22,7,65,77,0,0,0,0
20210525,52,24,23,51,36,50,28,87,21,7,62,75,1,0,0,0
20210526,52,30,18,65,59,49,49,91,18,7,63,70,0,0,0,0
20210527,48,22,22,61,67,75,49,90,20,7,61,72,0,0,0,0
20210528,38,24,18,52,74,72,61,79,19,7,59,67,0,0,0,0
20210529,41,27,20,51,52,63,51,68,25,7,60,74,1,0,0,0
20210530,45,30,21,76,55,49,40,80,25,8,62,73,0,0,0,0
20210531,35,21,18,47,47,42,39,90,25,7,62,69,0,0,0,0
20210601,43,30,14,53,53,48,44,85,24,8,58,73,0,0,0,0
20210602,45,17,19,56,52,48,31,81,22,8,58,72,0,0,0,0
20210603,41,16,15,57,35,47,44,79,21,7,61,69,0,0,0,0
20210604,38,24,18,46,42,45,37,79,24,8,51,70,1,0,0,0
20210605,42,26,19,65,58,54,42,71,28,8,56,72,2,0,0,0
20210606,57,27,20,49,44,52,34,82,30,8,65,83,3,0,0,0
