,base_date,user_id,bus_user_id,daily_rainfall,highest_temperature,lowest_temperature,season,average_time,average_speed,출근이용자,ev_resd_avg,ev_work_avg,ev_visit_avg,ev_resd_max,ev_work_max,ev_visit_max,mor_resd_avg,mor_work_avg,mor_visit_avg,mor_resd_max,mor_work_max,mor_visit_max,local_fore,holiday,user_count
0,20210101,39917.0,29500.0,0.0,6.400000095367432,2.900000095367432,4,51.15997539951385,41.835914757363064,1750.0,18467,1278,8889,58892,5041,26453,22615,898,5077,67297,3395,14408,15356,1,2319.0
1,20210102,46504.0,32923.0,0.0,8.300000190734863,-0.4000000059604645,4,51.15997539951385,41.835914757363064,2208.0,17462,1481,9651,57670,6169,30508,22352,918,5385,67289,3547,16273,9487,1,2929.0
2,20210103,40363.0,29609.0,0.0,5.599999904632568,-0.3000000119209289,4,51.15997539951385,41.835914757363064,1721.0,18196,1338,9184,59542,5277,29127,22386,859,5070,67060,3104,14852,12205,1,2636.0
3,20210104,56586.0,39357.0,0.0,9.100000381469728,0.6000000238418579,4,51.15997539951385,41.835914757363064,3462.0,16586,2303,10025,57837,10904,33780,21074,1401,5906,67703,7928,19725,11894,0,3768.0
4,20210105,54109.0,39455.0,0.5,7.900000095367432,1.7999999523162842,4,51.15997539951385,41.835914757363064,3167.0,16648,2288,10026,57420,11013,34467,21153,1422,5787,67823,7806,19015,11004,0,3755.0
5,20210106,55889.0,42330.0,0.0,5.0,1.5,4,45.258555133079845,41.64195183776933,3280.0,16713,2252,10021,57628,10902,34481,21196,1414,5819,67650,7753,19337,11209,0,3781.0
6,20210107,43988.0,32318.0,3.5,3.0999999046325684,-3.900000095367432,4,51.842430149447694,37.13872644574399,3839.0,19165,1839,7926,62324,9445,25572,21733,1398,5461,68183,7449,18468,2910,0,4292.0
7,20210108,42795.0,31638.0,5.0,-0.1000000014901161,-3.900000095367432,4,52.91322995710986,36.26129990102277,4095.0,19367,1695,7803,62365,8890,26792,22164,1327,5275,68432,6833,18451,504,0,4146.0
8,20210109,37639.0,28231.0,0.5,1.899999976158142,-2.700000047683716,4,52.04264607118872,36.89153794492948,2882.0,19337,1355,8183,61277,5766,27412,23007,960,4945,68224,3878,16334,11535,1,3501.0
9,20210110,35078.0,26199.0,0.0,4.099999904632568,-0.3000000119209289,4,48.18979057591623,39.904450261780106,2172.0,19101,1276,8520,61041,5190,28020,23142,814,4737,68356,2946,14024,12186,1,3065.0
10,20210111,47306.0,35708.0,8.5,4.199999809265137,0.3000000119209289,4,46.65271966527197,40.88381074991953,3612.0,16819,2273,10021,58023,11015,34990,21521,1356,5759,68389,7633,19797,12910,0,3984.0
11,20210112,51972.0,39994.0,1.0,5.599999904632568,2.0999999046325684,4,45.80115644073241,41.30934789592033,3797.0,16504,2245,10361,57175,10759,36297,21289,1371,5969,67674,7527,20188,13477,0,4380.0
12,20210113,59515.0,44504.0,0.0,12.300000190734863,3.799999952316284,4,44.767315671879985,42.43951484200447,3637.0,16068,2271,10632,56548,10959,36881,21073,1359,6055,67307,7726,20234,14323,0,4223.0
13,20210114,65212.0,46412.0,0.0,14.5,4.199999809265137,4,45.16445707070707,42.59375,3522.0,15929,2273,10707,55950,10688,36705,20838,1375,6216,66944,7611,20365,15498,0,4175.0
14,20210115,65870.0,47282.0,0.0,16.899999618530273,4.5,4,44.94854797979798,42.69633838383838,3478.0,15759,2199,11095,55283,10499,39080,20766,1361,6308,66442,7497,20967,17985,0,4152.0
15,20210116,58763.0,43425.0,0.0,8.100000381469727,2.0,4,44.02883396704689,43.22084917617237,2598.0,16443,1476,10617,55007,6342,35704,21488,963,5975,65766,3941,18929,16661,1,3215.0
16,20210117,43508.0,32100.0,1.0,4.0,0.3000000119209289,4,44.78801402613962,42.7475294867708,1961.0,17910,1289,9809,58561,5410,32923,22092,828,5552,65938,3072,16626,18051,1,2923.0
17,20210118,57344.0,43707.0,0.0,9.199999809265137,2.0999999046325684,4,44.63786008230453,42.82241215574549,3478.0,16224,2228,10837,56640,10364,38466,20934,1319,6394,66987,7408,21810,16188,0,4096.0
18,20210119,73064.0,49391.0,0.0,5.699999809265137,-1.5,4,44.155259822560204,42.98035487959442,3611.0,15805,2248,11112,55578,10383,39167,20784,1342,6476,66788,7292,22103,15828,0,4276.0
19,20210120,71002.0,51543.0,0.0,13.899999618530272,-1.7000000476837158,4,44.389589905362776,42.873501577287065,3629.0,15683,2221,11203,55120,10412,39509,20627,1341,6561,66339,7389,21915,16073,0,4333.0
20,20210121,67116.0,46801.0,1.0,17.700000762939453,3.400000095367432,4,44.57562361856647,42.856330912535526,3607.0,15868,2219,11112,55442,10250,39270,20690,1338,6595,66410,7355,22428,16638,0,4088.0
21,20210122,67571.0,47299.0,10.0,15.5,10.300000190734863,4,45.012666244458515,42.37682077264091,3374.0,15872,2168,11409,54925,10234,40296,20818,1338,6661,66721,7254,22710,19957,0,4060.0
22,20210123,46243.0,35075.0,37.5,13.600000381469728,9.899999618530272,4,44.611515343245806,42.685226194242325,2404.0,17106,1425,10412,55714,6237,36592,21888,929,6074,66049,3598,19754,18664,1,2673.0
23,20210124,62128.0,39417.0,3.0,13.5,9.0,4,43.70187718740057,43.573973910276806,2024.0,16901,1293,10611,56513,5395,34592,21855,794,5918,65626,2930,18083,20173,1,3256.0
24,20210125,73172.0,52247.0,0.0,15.0,10.300000190734863,4,44.58676377454085,42.93033565547815,3736.0,15705,2226,11371,55285,10373,39512,20493,1327,6821,65782,7245,23524,18466,0,4386.0
